usertype,route,num_trips,duration
"",to,5828994,
Customer,Central Park S & 6 AvetoCentral Park S & 6 Ave,46671,50.36
Customer,Grand Army Plaza & Central Park StoGrand Army Plaza & Central Park S,21039,58.02
Customer,Centre St & Chambers SttoCentre St & Chambers St,17543,34.75
Subscriber,W 21 St & 6 Aveto9 Ave & W 22 St,17260,5.23
Subscriber,W 21 St & 6 AvetoW 22 St & 10 Ave,14715,6.94
Subscriber,Pershing Square NorthtoW 33 St & 7 Ave,12559,8.4
Customer,Broadway & W 60 SttoBroadway & W 60 St,12528,52.09
Subscriber,W 22 St & 10 AvetoW 22 St & 8 Ave,11764,3.58
Subscriber,Pershing Square NorthtoE 24 St & Park Ave S,11737,7.03
